Year,ID,Group,Value,Measure
1998,S08000030,20-24,355,Age
1998,S08000020,20-24,369,Age
1998,S08000024,20-24,754,Age
1998,S08000031,20-24,822,Age
1999,S08000025,20-24,19,Age
1999,S08000016,20-24,37,Age
1999,S08000017,20-24,57,Age
1999,S08000022,20-24,148,Age
1999,S08000019,20-24,162,Age
1999,S08000015,20-24,197,Age
1999,S08000029,20-24,200,Age
1999,S08000030,20-24,300,Age
1999,S08000032,20-24,337,Age
1999,S08000020,20-24,347,Age
1999,S08000031,20-24,768,Age
1999,S08000024,20-24,779,Age
1999,S00000000,20-24,*,Age
2000,S00000000,20-24,6,Age
2000,S08000025,20-24,22,Age
2000,S08000016,20-24,34,Age
2000,S08000017,20-24,64,Age
2000,S08000022,20-24,142,Age
2000,S08000019,20-24,173,Age
2000,S08000015,20-24,181,Age
2000,S08000029,20-24,222,Age
2000,S08000032,20-24,298,Age
2000,S08000030,20-24,331,Age
2000,S08000020,20-24,363,Age
2000,S08000024,20-24,748,Age
2000,S08000031,20-24,771,Age
2001,S08000025,20-24,14,Age
2001,S08000016,20-24,40,Age
2001,S08000017,20-24,60,Age
2001,S08000022,20-24,151,Age
2001,S08000019,20-24,164,Age
2001,S08000015,20-24,177,Age
2001,S08000029,20-24,230,Age
2001,S08000030,20-24,307,Age
2001,S08000020,20-24,338,Age
2001,S08000032,20-24,340,Age
2001,S08000024,20-24,779,Age
2001,S08000031,20-24,861,Age
2001,S00000000,20-24,*,Age
2002,S08000025,20-24,23,Age
2002,S08000016,20-24,47,Age
2002,S08000017,20-24,68,Age
2002,S08000022,20-24,140,Age
2002,S08000015,20-24,160,Age
2002,S08000019,20-24,166,Age
2002,S08000029,20-24,264,Age
2002,S08000030,20-24,311,Age
2002,S08000032,20-24,357,Age
2002,S08000020,20-24,390,Age
2002,S08000024,20-24,730,Age
2002,S08000031,20-24,794,Age
2002,S00000000,20-24,*,Age
2003,S00000000,20-24,11,Age
2003,S08000025,20-24,19,Age
2003,S08000016,20-24,48,Age
2003,S08000017,20-24,51,Age
2003,S08000022,20-24,154,Age
2003,S08000019,20-24,174,Age
2003,S08000015,20-24,197,Age
2003,S08000029,20-24,267,Age
2003,S08000032,20-24,349,Age
2003,S08000030,20-24,381,Age
2003,S08000020,20-24,405,Age
2003,S08000024,20-24,792,Age
2003,S08000031,20-24,843,Age
2004,S00000000,20-24,5,Age
2004,S08000025,20-24,19,Age
2004,S08000016,20-24,54,Age
2004,S08000017,20-24,69,Age
2004,S08000022,20-24,139,Age
2004,S08000019,20-24,171,Age
2004,S08000015,20-24,218,Age
2004,S08000029,20-24,262,Age
2004,S08000030,20-24,340,Age
2004,S08000032,20-24,387,Age
2004,S08000020,20-24,398,Age
2004,S08000024,20-24,806,Age
2004,S08000031,20-24,836,Age
2005,S00000000,20-24,12,Age
2005,S08000025,20-24,20,Age
2005,S08000016,20-24,43,Age
2005,S08000017,20-24,68,Age
2005,S08000022,20-24,115,Age
2005,S08000015,20-24,169,Age
2005,S08000019,20-24,174,Age
2005,S08000029,20-24,245,Age
2005,S08000030,20-24,360,Age
2005,S08000032,20-24,376,Age
2005,S08000020,20-24,401,Age
2005,S08000024,20-24,821,Age
2005,S08000031,20-24,977,Age
2006,S00000000,20-24,13,Age
2006,S08000025,20-24,27,Age
2006,S08000017,20-24,76,Age
2006,S08000016,20-24,90,Age
2006,S08000022,20-24,158,Age
2006,S08000019,20-24,197,Age
2006,S08000015,20-24,224,Age
2006,S08000029,20-24,256,Age
2006,S08000030,20-24,359,Age
2006,S08000020,20-24,384,Age
2006,S08000032,20-24,400,Age
2006,S08000024,20-24,796,Age
2006,S08000031,20-24,1004,Age
2007,S00000000,20-24,10,Age
2007,S08000025,20-24,25,Age
2007,S08000016,20-24,55,Age
2007,S08000017,20-24,85,Age
2007,S08000022,20-24,161,Age
2007,S08000019,20-24,180,Age
2007,S08000015,20-24,234,Age
2007,S08000029,20-24,298,Age
2007,S08000030,20-24,399,Age
2007,S08000032,20-24,410,Age
2007,S08000020,20-24,420,Age
2007,S08000024,20-24,804,Age
2007,S08000031,20-24,1053,Age
2008,S00000000,20-24,13,Age
2008,S08000025,20-24,14,Age
2008,S08000016,20-24,59,Age
2008,S08000017,20-24,92,Age
2008,S08000022,20-24,156,Age
2008,S08000019,20-24,217,Age
2008,S08000015,20-24,253,Age
2008,S08000029,20-24,322,Age
2008,S08000030,20-24,395,Age
2008,S08000032,20-24,461,Age
2008,S08000020,20-24,466,Age
2008,S08000024,20-24,828,Age
2008,S08000031,20-24,1035,Age
2009,S00000000,20-24,16,Age
2009,S08000025,20-24,23,Age
2009,S08000016,20-24,41,Age
2009,S08000017,20-24,80,Age
2009,S08000022,20-24,128,Age
2009,S08000015,20-24,201,Age
2009,S08000019,20-24,202,Age
2009,S08000029,20-24,290,Age
2009,S08000030,20-24,339,Age
2009,S08000032,20-24,419,Age
2009,S08000020,20-24,430,Age
2009,S08000024,20-24,765,Age
2009,S08000031,20-24,941,Age
2010,S00000000,20-24,5,Age
2010,S08000025,20-24,18,Age
2010,S08000016,20-24,58,Age
2010,S08000017,20-24,84,Age
2010,S08000022,20-24,145,Age
2010,S08000019,20-24,215,Age
2010,S08000015,20-24,254,Age
2010,S08000029,20-24,279,Age
2010,S08000030,20-24,354,Age
2010,S08000020,20-24,430,Age
2010,S08000032,20-24,454,Age
2010,S08000024,20-24,692,Age
2010,S08000031,20-24,1000,Age
2011,S00000000,20-24,11,Age
2011,S08000025,20-24,14,Age
2011,S08000016,20-24,68,Age
2011,S08000017,20-24,84,Age
2011,S08000022,20-24,166,Age
2011,S08000015,20-24,204,Age
2011,S08000019,20-24,217,Age
2011,S08000029,20-24,270,Age
2011,S08000030,20-24,353,Age
2011,S08000032,20-24,378,Age
2011,S08000020,20-24,416,Age
2011,S08000024,20-24,765,Age
2011,S08000031,20-24,924,Age
2012,S00000000,20-24,16,Age
2012,S08000025,20-24,21,Age
2012,S08000016,20-24,64,Age
2012,S08000017,20-24,85,Age
2012,S08000022,20-24,148,Age
2012,S08000019,20-24,187,Age
2012,S08000015,20-24,234,Age
2012,S08000029,20-24,274,Age
2012,S08000030,20-24,366,Age
2012,S08000020,20-24,387,Age
2012,S08000032,20-24,405,Age
2012,S08000024,20-24,767,Age
2012,S08000031,20-24,896,Age
2013,S00000000,20-24,7,Age
2013,S08000025,20-24,17,Age
2013,S08000016,20-24,54,Age
2013,S08000017,20-24,79,Age
2013,S08000022,20-24,125,Age
2013,S08000019,20-24,194,Age
2013,S08000015,20-24,200,Age
2013,S08000029,20-24,256,Age
2013,S08000030,20-24,309,Age
2013,S08000032,20-24,395,Age
2013,S08000020,20-24,436,Age
2013,S08000024,20-24,722,Age
2013,S08000031,20-24,810,Age
2014,S00000000,20-24,5,Age
2014,S08000025,20-24,17,Age
2014,S08000016,20-24,49,Age
2014,S08000017,20-24,65,Age
2014,S08000022,20-24,131,Age
2014,S08000019,20-24,204,Age
2014,S08000029,20-24,226,Age
2014,S08000015,20-24,236,Age
2014,S08000030,20-24,323,Age
2014,S08000020,20-24,381,Age
2014,S08000032,20-24,395,Age
2014,S08000024,20-24,714,Age
2014,S08000031,20-24,828,Age
2015,S00000000,20-24,7,Age
2015,S08000025,20-24,15,Age
2015,S08000016,20-24,40,Age
2015,S08000017,20-24,76,Age
2015,S08000022,20-24,127,Age
2015,S08000019,20-24,183,Age
2015,S08000015,20-24,225,Age
2015,S08000029,20-24,256,Age
2015,S08000032,20-24,350,Age
2015,S08000030,20-24,355,Age
2015,S08000020,20-24,390,Age
2015,S08000024,20-24,748,Age
2015,S08000031,20-24,845,Age
2016,S08000025,20-24,22,Age
2016,S08000016,20-24,51,Age
2016,S08000017,20-24,73,Age
2016,S08000022,20-24,136,Age
2016,S08000015,20-24,191,Age
2016,S08000019,20-24,195,Age
2016,S08000029,20-24,251,Age
2016,S08000030,20-24,340,Age
2016,S08000020,20-24,383,Age
2016,S08000032,20-24,384,Age
2016,S08000024,20-24,695,Age
2016,S08000031,20-24,823,Age
2016,S00000000,20-24,*,Age
2017,S08000025,20-24,19,Age
2017,S08000016,20-24,55,Age
2017,S08000017,20-24,85,Age
2017,S08000022,20-24,141,Age
2017,S08000015,20-24,197,Age
2017,S08000019,20-24,213,Age
2017,S08000029,20-24,261,Age
2017,S08000030,20-24,305,Age
2017,S08000020,20-24,373,Age
2017,S08000032,20-24,414,Age
2017,S08000024,20-24,703,Age
2017,S08000031,20-24,803,Age
2017,S00000000,20-24,*,Age
2018,S08000025,20-24,12,Age
2018,S08000016,20-24,48,Age
2018,S08000017,20-24,71,Age
2018,S08000022,20-24,158,Age
2018,S08000015,20-24,206,Age
2018,S08000019,20-24,215,Age
2018,S08000029,20-24,249,Age
2018,S08000020,20-24,367,Age
2018,S08000030,20-24,388,Age
2018,S08000032,20-24,425,Age
2018,S08000024,20-24,753,Age
2018,S08000031,20-24,894,Age
2018,S00000000,20-24,*,Age
2019,S08000025,20-24,19,Age
2019,S08000016,20-24,50,Age
2019,S08000017,20-24,72,Age
2019,S08000022,20-24,150,Age
2019,S08000015,20-24,218,Age
2019,S08000019,20-24,230,Age
2019,S08000029,20-24,253,Age
2019,S08000030,20-24,333,Age
2019,S08000020,20-24,391,Age
2019,S08000032,20-24,464,Age
2019,S08000024,20-24,766,Age
2019,S08000031,20-24,982,Age
2019,S00000000,20-24,*,Age
2020,S08000025,20-24,11,Age
2020,S08000016,20-24,47,Age
2020,S08000017,20-24,61,Age
2020,S08000022,20-24,136,Age
2020,S08000015,20-24,188,Age
2020,S08000019,20-24,229,Age
2020,S08000029,20-24,247,Age
2020,S08000030,20-24,341,Age
2020,S08000020,20-24,359,Age
2020,S08000032,20-24,473,Age
2020,S08000024,20-24,762,Age
2020,S08000031,20-24,934,Age
2020,S00000000,20-24,*,Age
1992,S00000000,25-29,8,Age
1992,S08000025,25-29,19,Age
1992,S08000016,25-29,36,Age
1992,S08000017,25-29,50,Age
1992,S08000019,25-29,104,Age
1992,S08000022,25-29,118,Age
1992,S08000015,25-29,125,Age
1992,S08000029,25-29,154,Age
1992,S08000030,25-29,206,Age
1992,S08000032,25-29,219,Age
1992,S08000020,25-29,254,Age
1992,S08000024,25-29,449,Age
1992,S08000031,25-29,546,Age
1993,S00000000,25-29,5,Age
1993,S08000025,25-29,19,Age
1993,S08000016,25-29,37,Age
1993,S08000017,25-29,54,Age
1993,S08000019,25-29,125,Age
1993,S08000022,25-29,136,Age
1993,S08000015,25-29,140,Age
1993,S08000029,25-29,165,Age
1993,S08000032,25-29,219,Age
1993,S08000030,25-29,230,Age
1993,S08000020,25-29,267,Age
1993,S08000024,25-29,505,Age
1993,S08000031,25-29,543,Age
1994,S00000000,25-29,5,Age
1994,S08000025,25-29,19,Age
1994,S08000016,25-29,42,Age
1994,S08000017,25-29,48,Age
1994,S08000019,25-29,109,Age
1994,S08000022,25-29,124,Age
1994,S08000015,25-29,154,Age
1994,S08000029,25-29,160,Age
1994,S08000030,25-29,182,Age
1994,S08000032,25-29,225,Age
1994,S08000020,25-29,298,Age
1994,S08000024,25-29,504,Age
1994,S08000031,25-29,559,Age
1995,S08000025,25-29,17,Age
1995,S08000016,25-29,28,Age
1995,S08000017,25-29,48,Age
1995,S08000019,25-29,102,Age
1995,S08000022,25-29,107,Age
1995,S08000015,25-29,135,Age
1995,S08000029,25-29,148,Age
1995,S08000030,25-29,226,Age
1995,S08000032,25-29,229,Age
